iter	Passed	Remaining
942	33803	2043
943	33838	2007
944	33884	1972
945	33919	1936
946	33954	1900
947	34011	1865
948	34046	1829
949	34080	1793
950	34114	1757
951	34148	1721
952	34182	1685
953	34215	1649
954	34251	1613
955	34285	1577
956	34319	1542
957	34353	1506
958	34386	1470
959	34421	1434
960	34454	1398
961	34488	1362
962	34521	1326
963	34555	1290
964	34589	1254
965	34623	1218
966	34658	1182
967	34694	1146
968	34727	1111
969	34761	1075
970	34794	1039
971	34829	1003
972	34862	967
973	34892	931
974	34925	895
975	34959	859
976	34992	823
977	35028	787
978	35062	752
979	35097	716
980	35131	680
981	35164	644
982	35197	608
983	35232	572
984	35266	537
985	35299	501
986	35329	465
987	35363	429
988	35397	393
989	35433	357
990	35466	322
991	35500	286
992	35534	250
993	35569	214
994	35603	178
995	35636	143
996	35671	107
997	35714	71
998	35748	35
999	35782	0
